name,location,price,capacity,rating,reviews,description
Cold Creek Farm Wedding Venue,"Dawsonville, GA","$4,000 starting price",300 Guests,4.5,34,Ceremony/Reception Outdoor Indoor Clean Up Bar Services.
Carl House,"Auburn, GA","$5,000 starting price",220 Guests,4.8,197,Ceremony/Reception Outdoor Indoor Get Ready Rooms Clean Up.
"The Venue at Sharp Mountain, LLC","Jasper, GA","$26,750 starting price",300 Guests,5.0,34,Ceremony/Reception Outdoor Indoor Get Ready Rooms Clean Up.
Pristine Chapel Lakeside,"Jonesboro, GA","$8,495 starting price",300 Guests,4.7,123,Ceremony/Reception Outdoor Indoor Get Ready Rooms Clean Up.
The Cotton Gin at Mill Creek,"Hiram, GA","$13,000 starting price",200 Guests,5.0,87,Ceremony/Reception Outdoor Indoor Get Ready Rooms Clean Up.
2400 on the River,"Ranger, GA","$11,400 starting price",200 Guests,4.7,21,Ceremony/Reception Outdoor Indoor Get Ready Rooms Clean Up.
St Ives Country Club,"Duluth, GA","$10,000 starting price",200 Guests,5.0,18,Ceremony/Reception Outdoor Indoor Get Ready Rooms Clean Up.
Koury Farms Weddings & Events,"Auburn, GA","$4,500 starting price",200 Guests,5.0,117,Ceremony/Reception Outdoor Indoor Get Ready Rooms Clean Up.
Chateau Elan Winery & Resort,"Braselton, GA",$225 starting price,500 Guests,4.7,133,Ceremony/Reception Outdoor Indoor Get Ready Rooms Clean Up.
Ashton Gardens Atlanta by Walters Wedding Estates,"Buford, GA","$4,000 starting price",300 Guests,4.7,384,Ceremony/Reception Outdoor Indoor Get Ready Rooms Clean Up.
Brick and Ivey,"Marietta, GA","$11,500 starting price",,4.8,25,Clean Up.
Wahoo Grill,"Decatur, GA","$3,000 starting price",250 Guests,4.9,109,Ceremony/Reception Outdoor Indoor Get Ready Rooms Clean Up.
Vecoma at the Yellow River,"Snellville, GA","$2,500 starting price",300 Guests,4.9,292,Ceremony/Reception Outdoor Indoor Get Ready Rooms Clean Up.
The Wimbish House,"Atlanta, GA","$5,050 starting price",250 Guests,4.8,118,Ceremony/Reception Indoor Get Ready Rooms Outside Vendors Event Planner.
CeNita Venue at CeNita Vineyards & Winery,"Cleveland, GA","$3,500 starting price",200 Guests,5.0,63,Ceremony/Reception Outdoor Indoor Get Ready Rooms Accommodations.
Juliette Chapel & Events,"Dahlonega, GA","$2,000 starting price",70 Guests,5.0,94,Ceremony/Reception Outdoor Indoor Get Ready Rooms Clean Up.
The Chapel Athens,"Athens, GA","$3,000 starting price",300 Guests,5.0,12,Ceremony/Reception Outdoor Indoor Get Ready Rooms Clean Up.
Flat Creek Country Club,"Peachtree City, GA","$4,500 starting price",250 Guests,4.9,46,Ceremony/Reception Outdoor Indoor Get Ready Rooms Clean Up.
